,ddag_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
179,id,0.0004286426795107317,i,d,0.002625964221237485,0.002625964221237485,19.639501157013424
180,ie,0.0006559896659575218,i,e,0.002625964221237485,0.002625964221237485,19.213979778275228
181,if,0.0005125396226940054,i,f,0.002625964221237485,0.002625964221237485,19.460746793383933
182,ig,0.0005589096543178076,i,g,0.002625964221237485,0.002625964221237485,19.374136974071362
183,ih,0.0004937616404626175,i,h,0.002625964221237485,0.002625964221237485,19.49807192242378
184,ii,0.0002270095972669419,i,i,0.002625964221237485,0.002625964221237485,20.275132518685023
185,ij,0.0005982210228326066,i,j,0.002625964221237485,0.002625964221237485,19.30616452491857
186,ik,0.00044104347898606485,i,k,0.002625964221237485,0.002625964221237485,19.610981351589572
187,il,0.0006465222037681154,i,l,0.002625964221237485,0.002625964221237485,19.228517271783964
188,im,0.0005618306055401068,i,m,0.002625964221237485,0.002625964221237485,19.36892442315193
189,in,0.0005849800684467481,i,n,0.002625964221237485,0.002625964221237485,19.328547038361474
190,io,0.00047877638349022404,i,o,0.002625964221237485,0.002625964221237485,19.528891165887334
191,ip,0.0006595148711335903,i,p,0.002625964221237485,0.002625964221237485,19.208620292975315
192,iq,0.0006831612074532766,i,q,0.002625964221237485,0.002625964221237485,19.173393953779147
193,ir,0.0005706877053607182,i,r,0.002625964221237485,0.002625964221237485,19.35328267975727
194,is,0.0005935896044943166,i,s,0.002625964221237485,0.002625964221237485,19.313936634926222
195,it,0.0006799420584672334,i,t,0.002625964221237485,0.002625964221237485,19.17811722757839
196,iu,0.000559950946930126,i,u,0.002625964221237485,0.002625964221237485,19.372275628856784
197,iv,0.0005255157008843558,i,v,0.002625964221237485,0.002625964221237485,19.43574474611987
198,ja,0.00042973588444981617,j,a,0.008862629246676513,0.008862629246676513,17.204163367566576
199,jb,0.0004792624001661755,j,b,0.008862629246676513,0.008862629246676513,17.095085909633863
200,jc,0.00035750647759976134,j,c,0.008862629246676513,0.008862629246676513,17.38818068420263
201,jd,0.000443702539499899,j,d,0.008862629246676513,0.008862629246676513,17.17217978350266
202,je,0.00041639264466684743,j,e,0.008862629246676513,0.008862629246676513,17.235705492852507
203,jf,0.00043644143060635817,j,f,0.008862629246676513,0.008862629246676513,17.188679978651916
204,jg,0.00043891366697062075,j,g,0.008862629246676513,0.008862629246676513,17.183031429978612
205,jh,0.00045861900330413264,j,h,0.008862629246676513,0.008862629246676513,17.13911435812213
206,ji,0.0005982210228326066,j,i,0.008862629246676513,0.008862629246676513,16.873373876269586
207,jj,0.0003155413372600951,j,j,0.008862629246676513,0.008862629246676513,17.513044470507396
208,jk,0.00044748875757675974,j,k,0.008862629246676513,0.008862629246676513,17.163682750666883
209,jl,0.0004101069922409065,j,l,0.008862629246676513,0.008862629246676513,17.250916082992497
210,jm,0.0006357378043482258,j,m,0.008862629246676513,0.008862629246676513,16.81254794430811
211,jn,0.00045521962433068544,j,n,0.008862629246676513,0.008862629246676513,17.14655417200284
212,jo,0.0004974542094496912,j,o,0.008862629246676513,0.008862629246676513,17.057830654277282
213,jp,0.00042206790750669434,j,p,0.008862629246676513,0.008862629246676513,17.22216794598035
214,jq,0.0004361595587667778,j,q,0.008862629246676513,0.008862629246676513,17.18932602845662
215,jr,0.0005059306347346165,j,r,0.008862629246676513,0.008862629246676513,17.040934590947035
216,js,0.0004538283872610862,j,s,0.008862629246676513,0.008862629246676513,17.149615040379555
217,jt,0.0004372382242170799,j,t,0.008862629246676513,0.008862629246676513,17.186855983261314
218,ju,0.0004496702258809139,j,u,0.008862629246676513,0.008862629246676513,17.158819682596267
219,jv,0.0006093036934568044,j,v,0.008862629246676513,0.008862629246676513,16.855017346293252
220,ka,0.0004994671188994574,k,a,0.0011488593467914,0.0011488593467914,21.139940192457903
221,kb,0.0005371084067908423,k,b,0.0011488593467914,0.0011488593467914,21.067282011372473
222,kc,0.00035949708392958357,k,c,0.0011488593467914,0.0011488593467914,21.468775894683954
223,kd,0.00027955933354983367,k,d,0.0011488593467914,0.0011488593467914,21.720267405669883
224,ke,0.000448937371195271,k,e,0.0011488593467914,0.0011488593467914,21.246598567425814
225,kf,0.00035040574188730965,k,f,0.0011488593467914,0.0011488593467914,21.494390214757964
226,kg,0.00046683641841470586,k,g,0.0011488593467914,0.0011488593467914,21.20750304581195
227,kh,0.0005241889860812687,k,h,0.0011488593467914,0.0011488593467914,21.09162968059151
